Quadro,min_val,max_val
1.png,-355131040.0,549624192.0
2.png,-360165184.0,572393472.0
3.png,-349541632.0,606740352.0
4.png,-347934304.0,599275584.0
5.png,-348449824.0,604859712.0
6.png,-345157376.0,560537152.0
7.png,-346870368.0,569557952.0
8.png,-346870368.0,569557952.0
9.png,-334961984.0,543952064.0
10.png,-280228224.0,513772672.0
11.png,-303078496.0,414483616.0
12.png,-264411024.0,749503744.0
13.png,-303078496.0,414483616.0
14.png,-265251664.0,660779776.0
15.png,-268488160.0,795440896.0
16.png,-268488160.0,795440896.0
17.png,-340926144.0,730783936.0
18.png,-370585056.0,733364224.0
19.png,-340280288.0,800446592.0
20.png,-352975872.0,805476736.0
21.png,-367006496.0,819277824.0
22.png,-367006496.0,819277824.0
23.png,-220281776.0,740555584.0
24.png,-396078752.0,730030336.0
25.png,-211766656.0,885744064.0
26.png,-225140640.0,889150400.0
27.png,-226692880.0,904785472.0
28.png,-226120528.0,811544000.0
29.png,-225611392.0,917784064.0
30.png,-219157792.0,887655680.0
31.png,-225611392.0,917784064.0
32.png,-220754144.0,889910912.0
33.png,-211766656.0,885744064.0
34.png,-211766656.0,885744064.0
35.png,-211766656.0,885744064.0
36.png,-216041152.0,1008317952.0
37.png,-214271968.0,1003217216.0
38.png,-215012544.0,1021536832.0
39.png,-214271968.0,1003217216.0
40.png,-213755760.0,1036137216.0
41.png,-213518960.0,1001481088.0
42.png,-216383520.0,977481472.0
43.png,-216521408.0,972073664.0
44.png,-215669648.0,952855104.0
45.png,-213033024.0,924409536.0
46.png,-215552736.0,952970752.0
47.png,-215245008.0,991749504.0
48.png,-215886992.0,1020090304.0
49.png,-212913312.0,850053120.0
50.png,-215886992.0,1020090304.0
51.png,-214491968.0,1049814912.0
52.png,-215886992.0,1020090304.0
53.png,-212913312.0,850053120.0
54.png,-216181232.0,902451264.0
55.png,-215134128.0,943634176.0
56.png,-212431920.0,937132416.0
57.png,-213249040.0,762592448.0
58.png,-293097536.0,762754304.0
59.png,-293097536.0,762754304.0
60.png,-327980992.0,768795584.0
61.png,-329648640.0,780976960.0
62.png,-331168032.0,788742976.0
100.png,-331270432.0,790584192.0
101.png,-364490176.0,700364608.0
102.png,-363505856.0,756888576.0
103.png,-352479840.0,682240000.0
104.png,-367896448.0,751173056.0
105.png,-351667008.0,706901440.0
106.png,-365577088.0,739816256.0
107.png,-367896448.0,751173056.0
108.png,-385799168.0,803680192.0
109.png,-385799168.0,803680192.0
110.png,-376831872.0,817108864.0
111.png,-340473440.0,725122368.0
112.png,-378819264.0,760485632.0
113.png,-235045648.0,701745920.0
114.png,-218990480.0,833432000.0
115.png,-222200336.0,1034589120.0
116.png,-221020464.0,1028614272.0
117.png,-223006480.0,1032191040.0
118.png,-218539712.0,1028942336.0
119.png,-222200336.0,1034589120.0
120.png,-215986400.0,1008317952.0
121.png,-215986400.0,1008317952.0
122.png,-219487936.0,849067584.0
123.png,-217203664.0,1011985728.0
124.png,-214753296.0,973545600.0
125.png,-217141072.0,1069245760.0
126.png,-219123008.0,1077153536.0
127.png,-218699872.0,830346240.0
128.png,-216749056.0,986765888.0
129.png,-217793216.0,1039893824.0
130.png,-219487936.0,849067584.0
131.png,-329835680.0,790208576.0
132.png,-331270432.0,790584192.0
133.png,-364490176.0,700364608.0
